,,,,,"B-15  NON-WORKERS BY MAIN ACTIVITY, EDUCATIONAL LEVEL AND SEX",,,,,,,,,,,,,,,,,,,,,,,,
Table,State,District,Area,Total/,Educational,Non-workers,,,Main activity,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,Name,Rural/,level,,,,Students,,,Household duties,,,Dependents,,,Pensioners,,,Rentiers,,,"Beggars, Vagrants etc.",,,Others,,
,,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0
B0515,24,468,District - Kachchh,Total,Matric/secondary but below graduate,106236.0,34913.0,71323.0,44828.0,26524.0,18304.0,49136.0,648.0,48488.0,4735.0,2804.0,1931.0,2352.0,1925.0,427.0,115.0,86.0,29.0,2.0,2.0,0.0,5068.0,2924.0,2144.0
B0515,24,468,District - Kachchh,Total,Technical diploma or certificate not equal to degree,4090.0,2338.0,1752.0,1838.0,1459.0,379.0,800.0,23.0,777.0,153.0,94.0,59.0,841.0,502.0,339.0,2.0,2.0,0.0,0.0,0.0,0.0,456.0,258.0,198.0
B0515,24,468,District - Kachchh,Total,Graduate and above other than technical degree,25413.0,4862.0,20551.0,4879.0,2512.0,2367.0,16270.0,216.0,16054.0,829.0,411.0,418.0,1113.0,879.0,234.0,34.0,25.0,9.0,4.0,3.0,1.0,2284.0,816.0,1468.0
B0515,24,468,District - Kachchh,Total,Technical degree or diploma equal to degree or post-graduate degree,3724.0,1468.0,2256.0,1509.0,936.0,573.0,1284.0,20.0,1264.0,135.0,81.0,54.0,334.0,238.0,96.0,4.0,3.0,1.0,1.0,1.0,0.0,457.0,189.0,268.0
B0515,24,468,District - Kachchh,Rural,Total,846968.0,308544.0,538424.0,284530.0,160281.0,124249.0,261029.0,4125.0,256904.0,279063.0,134284.0,144779.0,2316.0,1513.0,803.0,527.0,316.0,211.0,83.0,53.0,30.0,19420.0,7972.0,11448.0
B0515,24,468,District - Kachchh,Rural,Illiterate,438858.0,147223.0,291635.0,48516.0,25457.0,23059.0,132715.0,1928.0,130787.0,249863.0,117687.0,132176.0,667.0,191.0,476.0,297.0,126.0,171.0,65.0,37.0,28.0,6735.0,1797.0,4938.0
B0515,24,468,District - Kachchh,Rural,Literate,408110.0,161321.0,246789.0,236014.0,134824.0,101190.0,128314.0,2197.0,126117.0,29200.0,16597.0,12603.0,1649.0,1322.0,327.0,230.0,190.0,40.0,18.0,16.0,2.0,12685.0,6175.0,6510.0
B0515,24,468,District - Kachchh,Rural,Literate but below matric/secondary,348582.0,141512.0,207070.0,213678.0,120308.0,93370.0,99948.0,1802.0,98146.0,25137.0,14271.0,10866.0,865.0,662.0,203.0,181.0,149.0,32.0,11.0,9.0,2.0,8762.0,4311.0,4451.0
B0515,24,468,District - Kachchh,Rural,Matric/secondary but below graduate,41257.0,15054.0,26203.0,18605.0,12133.0,6472.0,18196.0,220.0,17976.0,1787.0,1143.0,644.0,399.0,351.0,48.0,25.0,22.0,3.0,1.0,1.0,0.0,2244.0,1184.0,1060.0
B0515,24,468,District - Kachchh,Rural,Technical diploma or certificate not equal to degree,1540.0,965.0,575.0,768.0,638.0,130.0,292.0,8.0,284.0,51.0,35.0,16.0,206.0,158.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,126.0,97.0
B0515,24,468,District - Kachchh,Rural,Graduate and above other than technical degree,5883.0,1172.0,4711.0,1265.0,759.0,506.0,3653.0,26.0,3627.0,148.0,92.0,56.0,94.0,85.0,9.0,3.0,3.0,0.0,1.0,1.0,0.0,719.0,206.0,513.0
B0515,24,468,District - Kachchh,Rural,Technical degree or diploma equal to degree or post-graduate degree,866.0,329.0,537.0,332.0,236.0,96.0,335.0,3.0,332.0,32.0,20.0,12.0,30.0,24.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,136.0,45.0,91.0
B0515,24,468,District - Kachchh,Urban,Total,469175.0,163489.0,305686.0,164012.0,89927.0,74085.0,164341.0,3152.0,161189.0,118938.0,57323.0,61615.0,7038.0,4862.0,2176.0,702.0,391.0,311.0,251.0,174.0,77.0,13893.0,7660.0,6233.0
B0515,24,468,District - Kachchh,Urban,Illiterate,173565.0,62218.0,111347.0,23911.0,12553.0,11358.0,47739.0,1123.0,46616.0,97850.0,46781.0,51069.0,749.0,297.0,452.0,246.0,84.0,162.0,199.0,137.0,62.0,2871.0,1243.0,1628.0
B0515,24,468,District - Kachchh,Urban,Literate,295610.0,101271.0,194339.0,140101.0,77374.0,62727.0,116602.0,2029.0,114573.0,21088.0,10542.0,10546.0,6289.0,4565.0,1724.0,456.0,307.0,149.0,52.0,37.0,15.0,11022.0,6417.0,4605.0
B0515,24,468,District - Kachchh,Urban,Literate but below matric/secondary,192088.0,72099.0,119989.0,106064.0,58583.0,47481.0,63228.0,1182.0,62046.0,15326.0,7568.0,7758.0,1971.0,1375.0,596.0,302.0,200.0,102.0,39.0,28.0,11.0,5158.0,3163.0,1995.0
B0515,24,468,District - Kachchh,Urban,Matric/secondary but below graduate,64979.0,19859.0,45120.0,26223.0,14391.0,11832.0,30940.0,428.0,30512.0,2948.0,1661.0,1287.0,1953.0,1574.0,379.0,90.0,64.0,26.0,1.0,1.0,0.0,2824.0,1740.0,1084.0
B0515,24,468,District - Kachchh,Urban,Technical diploma or certificate not equal to degree,2550.0,1373.0,1177.0,1070.0,821.0,249.0,508.0,15.0,493.0,102.0,59.0,43.0,635.0,344.0,291.0,2.0,2.0,0.0,0.0,0.0,0.0,233.0,132.0,101.0
B0515,24,468,District - Kachchh,Urban,Graduate and above other than technical degree,19530.0,3690.0,15840.0,3614.0,1753.0,1861.0,12617.0,190.0,12427.0,681.0,319.0,362.0,1019.0,794.0,225.0,31.0,22.0,9.0,3.0,2.0,1.0,1565.0,610.0,955.0
B0515,24,468,District - Kachchh,Urban,Technical degree or diploma equal to degree or post-graduate degree,2858.0,1139.0,1719.0,1177.0,700.0,477.0,949.0,17.0,932.0,103.0,61.0,42.0,304.0,214.0,90.0,3.0,2.0,1.0,1.0,1.0,0.0,321.0,144.0,177.0
B0515,24,469,District - Banas Kantha,Total,Total,1871906.0,774111.0,1097795.0,748839.0,437278.0,311561.0,448232.0,10089.0,438143.0,628694.0,300671.0,328023.0,6868.0,5098.0,1770.0,499.0,251.0,248.0,996.0,691.0,305.0,37778.0,20033.0,17745.0
B0515,24,469,District - Banas Kantha,Total,Illiterate,909783.0,331218.0,578565.0,104919.0,55744.0,49175.0,225283.0,3546.0,221737.0,567461.0,267986.0,299475.0,1146.0,209.0,937.0,247.0,76.0,171.0,842.0,564.0,278.0,9885.0,3093.0,6792.0
