State  Code	District Code	Sub District Code	India/ State/ Union Territory/ District/ Sub-district	Name	"Total/Rural/Urban"	Number of villages Inhabited	Uninhabited	Number of towns	Number of households	Population Persons	Males	Females	"Area(In sq. km)"	Population per sq. km.
28	552	05287	SUB-DISTRICT	Gospadu	Rural	15	0	0	10,593	41,066	20,550	20,516	130.19	315
28	552	05287	SUB-DISTRICT	Gospadu	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05288	SUB-DISTRICT	Banaganapalle	Total	36	1	2	23,840	1,00,954	50,906	50,048	526.82	192
28	552	05288	SUB-DISTRICT	Banaganapalle	Rural	36	1	0	15,868	65,898	33,280	32,618	504.40	131
28	552	05288	SUB-DISTRICT	Banaganapalle	Urban	0	0	2	7,972	35,056	17,626	17,430	22.42	1,564
28	552	05289	SUB-DISTRICT	Dhone	Total	16	0	1	26,505	1,20,232	60,558	59,674	563.04	214
28	552	05289	SUB-DISTRICT	Dhone	Rural	16	0	0	13,678	60,960	31,088	29,872	558.04	109
28	552	05289	SUB-DISTRICT	Dhone	Urban	0	0	1	12,827	59,272	29,470	29,802	5.00	11,854
28	552	05290	SUB-DISTRICT	Pattikonda	Total	11	0	0	14,410	68,962	34,579	34,383	289.15	238
28	552	05290	SUB-DISTRICT	Pattikonda	Rural	11	0	0	14,410	68,962	34,579	34,383	289.15	238
28	552	05290	SUB-DISTRICT	Pattikonda	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05291	SUB-DISTRICT	Chippagiri	Total	14	0	0	6,569	33,400	16,875	16,525	294.86	113
28	552	05291	SUB-DISTRICT	Chippagiri	Rural	14	0	0	6,569	33,400	16,875	16,525	294.86	113
28	552	05291	SUB-DISTRICT	Chippagiri	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05292	SUB-DISTRICT	Maddikera (East)	Total	6	2	0	8,089	36,834	18,653	18,181	241.05	153
28	552	05292	SUB-DISTRICT	Maddikera (East)	Rural	6	2	0	8,089	36,834	18,653	18,181	241.05	153
28	552	05292	SUB-DISTRICT	Maddikera (East)	Urban	0	0	0	0	0	0	0	0.00	0
