DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,avg_lights_x_pct,avg_vis,censuscode,cf_cvg,stable_lights
Rayagada,27,21,Odisha,1.03521296,5.166916841,396,60.78891539,1.036019963
Reasi,20,1,Jammu & Kashmir,2.145276772,4.911984818,20,66.42810231,2.142404412
Rewa,13,23,Madhya Pradesh,4.970784428,6.419737972,430,70.61100934,4.976784604
Rewari,17,6,Haryana,20.59959795,20.61262322,85,72.90396319,20.61262322
Ri Bhoi,5,17,Meghalaya,2.27560441,6.516877845,297,61.41400866,2.279544509
Rohtak,14,6,Haryana,15.87041364,15.88635562,82,72.53411265,15.88635562
Rohtas,32,10,Bihar,2.015217658,5.397427395,234,64.84094671,2.013989163
Rudraprayag,3,5,Uttarakhand,1.236427119,4.151354386,58,75.36700111,1.235563518
Rupnagar,17,3,Punjab,13.50763818,13.64265538,51,69.19687085,13.49502985
Sabar Kantha,5,24,Gujarat,4.94638003,6.645048141,472,70.45312135,4.947342992
Sagar,10,23,Madhya Pradesh,3.587277123,6.184827111,427,71.39660141,3.585953382
Saharanpur,1,9,Uttar Pradesh,5.346440001,7.201376604,132,73.39897252,5.338421984
Saharsa,12,10,Bihar,3.215012232,5.798849399,214,66.36178074,3.202413893
Sahibganj,7,20,Jharkhand,2.288163181,5.794991369,352,69.03129665,2.290617531
Sahibzada Ajit Singh Nagar,18,3,Punjab,27.16337378,27.17742273,52,69.82796836,27.17742273
Saiha,8,15,Mizoram,0.05757206,5.147009378,288,62.31220269,0.056997951
Salem,7,33,Tamil Nadu,13.16290021,13.34576064,608,54.72769957,13.17437993
Samastipur,19,10,Bihar,3.77194806,5.872414707,221,66.2005107,3.765564957
Samba,22,1,Jammu & Kashmir,11.95976074,12.55089713,22,69.73968746,11.95148502
Sambalpur,3,21,Odisha,2.651403444,6.20077224,372,55.42674011,2.653359951
Sangli,35,27,Maharashtra,8.197347907,8.468299935,531,68.58104836,8.195574944
Sangrur,19,3,Punjab,13.77288696,13.77559289,53,76.61288366,13.77559289
Sant Kabir Nagar,55,9,Uttar Pradesh,3.167115724,5.623200456,186,69.94700755,3.159486011
Sant Ravi Das Nagar(bhadohi),67,9,Uttar Pradesh,7.13862663,8.510515832,198,67.42704915,7.127940862
Saraikela-kharsawan,24,20,Jharkhand,5.614478358,8.575580355,369,58.8456187,5.614067216
Saran (chhapra),17,10,Bihar,5.624283268,7.178629388,219,69.64223766,5.614973048
Satara,31,27,Maharashtra,7.522091322,8.062801378,527,73.99988708,7.529939587
Satna,12,23,Madhya Pradesh,5.29440706,6.740925188,429,70.63623124,5.301761513
Sawai Madhopur,10,8,Rajasthan,6.036622526,7.406471973,108,78.15561925,6.029251864
Sehore,28,23,Madhya Pradesh,3.327282238,6.788019531,445,72.36962637,3.326098266
Senapati,1,14,Manipur,0.53841771,5.234618545,272,63.80881617,0.537656548
Seoni,39,23,Madhya Pradesh,1.791845384,4.725034221,456,68.01708889,1.80551698
Serchhip,5,15,Mizoram,0.193192431,4.596960967,285,62.11721985,0.195152019
Shahdol,43,23,Madhya Pradesh,1.771935862,4.729523031,460,66.04723295,1.781082566
Shahid Bhagat Singh Nagar,5,3,Punjab,12.05401936,12.15223269,39,71.97989969,12.05061063
Shahjahanpur,21,9,Uttar Pradesh,2.288451005,6.217493492,152,75.49833984,2.289484415
Shajapur,19,23,Madhya Pradesh,1.636279628,5.748305939,436,73.55150849,1.636337867
Sheikhpura,26,10,Bihar,1.86468488,5.099099013,228,64.76737294,1.864380292
Sheohar,3,10,Bihar,1.770732895,4.932295037,205,73.27648803,1.758199545
Sheopur,1,23,Madhya Pradesh,1.012908119,4.240810987,418,78.07069012,1.01346419
Shimla,11,2,Himachal Pradesh,2.78992171,5.42157264,33,70.15677689,2.786999391
Shimoga,14,29,Karnataka,3.429850851,5.873951627,568,68.5875195,3.440477457
Shivpuri,6,23,Madhya Pradesh,1.080153228,4.632164057,423,75.40761201,1.081196535
Shrawasti,50,9,Uttar Pradesh,0.528206812,4.543354374,181,71.58124122,0.528923723
Shupiyan,13,1,Jammu & Kashmir,1.237110475,4.352556126,13,66.3295402,1.242474572
Siddharth Nagar,53,9,Uttar Pradesh,0.845347644,4.570028394,184,72.04835624,0.842166128
Sidhi,45,23,Madhya Pradesh,2.236827079,4.731459752,462,68.35323516,2.249095328
Sikar,13,8,Rajasthan,11.5607107,11.59210147,111,72.02709789,11.56431462
Simdega,22,20,Jharkhand,0.142744875,3.807289579,367,54.18107785,0.142206712
Sindhudurg,33,27,Maharashtra,4.021722089,5.179089592,529,75.53852804,4.016193092
Singrauli,46,23,Madhya Pradesh,4.613766122,7.367026858,463,65.29817314,4.615794572
Sirmaur,10,2,Himachal Pradesh,4.884131103,6.689741163,32,69.6245494,4.875022633
Sirohi,19,8,Rajasthan,3.584594516,6.266577523,117,67.70445158,3.583017132
Sirsa,11,6,Haryana,13.31302523,13.3488729,79,69.3699326,13.32286694
Sitamarhi,4,10,Bihar,1.783747845,5.031769087,206,72.33952857,1.773843262
Sitapur,23,9,Uttar Pradesh,1.468963698,5.618145162,154,73.67339399,1.469349653
Sivaganga,21,33,Tamil Nadu,7.792115909,7.820167835,622,51.06730016,7.79544932
Sivasagar,12,18,Assam,6.451688098,7.796406566,311,67.61541732,6.441032899
Siwan,16,10,Bihar,2.790198351,5.296316152,218,71.00863451,2.768229573
Solan,9,2,Himachal Pradesh,12.352852,12.45373259,31,67.99264901,12.36188636
Solapur,30,27,Maharashtra,8.830258756,8.958017404,526,62.36757738,8.836149507
Sonbhadra,69,9,Uttar Pradesh,2.689684342,5.850580957,200,64.45642766,2.687554738
Sonipat,8,6,Haryana,19.81266504,19.82021267,76,72.21191853,19.82021267
Sonitpur,7,18,Assam,2.556656036,5.262850411,306,70.76149044,2.545366071
South,9,7,NCT of Delhi,59.170266,59.24157454,98,72.13273378,59.24157454
South,3,11,Sikkim,4.622524192,6.29223468,243,71.49533803,4.62014642
South 24 Parganas,17,19,West Bengal,9.902685463,11.59109085,343,57.10087569,9.906960682
South Andaman,3,35,Andaman & Nicobar Island,1.758555095,4.694795657,640,64.67962139,1.762588186
South Garo Hills,3,17,Meghalaya,0.474119795,4.453222387,295,67.4024321,0.475431578
South Goa,2,30,Goa,10.03789483,11.10619381,586,76.59240699,10.03356856
South Tripura,2,16,Tripura,4.613458526,6.940276342,290,64.45458389,4.614548654
South West,8,7,NCT of Delhi,56.48885286,56.57012147,97,71.6949133,56.57012147
Sri Potti Sriramulu Nellore,19,28,Andhra Pradesh,7.1216479,7.924967855,550,69.70761523,7.135455166
Srikakulam,11,28,Andhra Pradesh,5.315664564,6.330922661,542,68.04450952,5.326699119
Srinagar,10,1,Jammu & Kashmir,8.430715909,10.29856289,10,64.91498508,8.43293003
Subarnapur,23,21,Odisha,1.379110708,4.634740508,392,56.52528643,1.38240457
Sultanpur,48,9,Uttar Pradesh,2.748960419,5.869402056,179,71.21710091,2.746623473
Sundargarh,5,21,Odisha,3.107899661,6.710157047,374,55.89068781,3.107524333
Supaul,6,10,Bihar,3.710003844,5.772457959,208,70.46620461,3.70052786
Surat,25,24,Gujarat,16.23621793,16.67915973,492,75.37193204,16.24574241
Surendranagar,8,24,Gujarat,4.683940381,6.256343267,475,66.05753572,4.678715511
