,,,,,"C-11 POPULATION ATTENDING EDUCATIONAL INSTITUTION BY COMPLETED EDUCATION LEVEL, AGE AND SEX - 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,State,Distt.,Area Name,Total/,Age-group,Total population,,,Population ,,,Illiterates,,,Literates,,,Educational level,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,,Rural/,,,,,attending educational institution,,,,,,,,,Literate without,,,Below primary,,,Primary,,,Middle,,,Matric/Secondary,,,Higher Secondary/Intermediate,,,Non-technical diploma or,,,Technical diploma or certificate not,,,Graduate & above,,
,,,,Urban/,,,,,,,,,,,,,,education level,,,,,,,,,,,,,,,Pre-University/Senior secondary,,,certificate not equal to degree,,,equal to degree,,,,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3311,28,000,State - ANDHRA PRADESH,Total,30-34,6584371.0,3300407.0,3283964.0,172478.0,103772.0,68706.0,35915.0,13733.0,22182.0,136563.0,90039.0,46524.0,4419.0,2465.0,1954.0,884.0,395.0,489.0,1339.0,673.0,666.0,322.0,175.0,147.0,1097.0,614.0,483.0,24481.0,14993.0,9488.0,1490.0,1172.0,318.0,8059.0,7055.0,1004.0,92500.0,61294.0,31206.0
C3311,28,000,State - ANDHRA PRADESH,Total,35-59,23131065.0,11580665.0,11550400.0,414561.0,232944.0,181617.0,169753.0,67584.0,102169.0,244808.0,165360.0,79448.0,13246.0,7255.0,5991.0,3152.0,1700.0,1452.0,3910.0,2110.0,1800.0,802.0,450.0,352.0,2438.0,1584.0,854.0,50069.0,31708.0,18361.0,3551.0,2782.0,769.0,13413.0,11970.0,1443.0,149644.0,102991.0,46653.0
C3311,28,000,State - ANDHRA PRADESH,Total,60+,8278241.0,3906328.0,4371913.0,132890.0,68799.0,64091.0,79123.0,31301.0,47822.0,53767.0,37498.0,16269.0,4168.0,2373.0,1795.0,1031.0,664.0,367.0,1158.0,651.0,507.0,251.0,143.0,108.0,418.0,285.0,133.0,13957.0,8689.0,5268.0,915.0,751.0,164.0,2441.0,2061.0,380.0,27956.0,20941.0,7015.0
C3311,28,000,State - ANDHRA PRADESH,Total,Age not stated,771431.0,387686.0,383745.0,66410.0,35600.0,30810.0,23132.0,10417.0,12715.0,43278.0,25183.0,18095.0,3418.0,1869.0,1549.0,295.0,136.0,159.0,289.0,139.0,150.0,107.0,58.0,49.0,246.0,159.0,87.0,15219.0,8234.0,6985.0,398.0,310.0,88.0,1836.0,1303.0,533.0,20399.0,12322.0,8077.0
C3311,28,000,State - ANDHRA PRADESH,Rural,All ages,56361702.0,28243241.0,28118461.0,13660166.0,7476231.0,6183935.0,1808499.0,908317.0,900182.0,11851667.0,6567914.0,5283753.0,148766.0,87883.0,60883.0,3223456.0,1697329.0,1526127.0,3014477.0,1562426.0,1452051.0,1904451.0,1007151.0,897300.0,1551376.0,865743.0,685633.0,1238519.0,787775.0,450744.0,10220.0,8313.0,1907.0,136658.0,107530.0,29128.0,561353.0,408949.0,152404.0
C3311,28,000,State - ANDHRA PRADESH,Rural,0-4,4212158.0,2165606.0,2046552.0,228909.0,119688.0,109221.0,228909.0,119688.0,109221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Rural,5.0,978111.0,505368.0,472743.0,366099.0,190422.0,175677.0,366099.0,190422.0,175677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Rural,6.0,961753.0,498314.0,463439.0,578494.0,300688.0,277806.0,578494.0,300688.0,277806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Rural,7.0,1008383.0,519134.0,489249.0,859338.0,443480.0,415858.0,162845.0,85168.0,77677.0,696493.0,358312.0,338181.0,9081.0,5110.0,3971.0,682601.0,350601.0,332000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3311,28,000,State - ANDHRA PRADESH,Rural,8.0,1031850.0,527460.0,504390.0,948113.0,487047.0,461066.0,69178.0,36595.0,32583.0,878935.0,450452.0,428483.0,8906.0,4819.0,4087.0,865464.0,443330.0,422134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
